"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 28 12:55:08 EET 2020","Wed Oct 28 12:55:10 EET 2020","1980","Default Suite","APIs","Com.APIs.Company.GET_CompanyPatentDetailsByPatentID_TC011","Com.APIs.Company.GET_CompanyPatentDetailsByPatentID_TC011","CompanyPatentDetailsByPatentID","CompanyPatentDetailsByPatentID",""
"passed","Wed Oct 28 12:56:40 EET 2020","Wed Oct 28 12:56:42 EET 2020","1861","Default Suite","APIs","Com.APIs.PartDataSearch.POST_ModifyUploadedParts_DELETE_WithoutDynamicData_TC028","Com.APIs.PartDataSearch.POST_ModifyUploadedParts_DELETE_WithoutDynamicData_TC028","ModifyUploadedParts_DELETE_WithoutDynamicData","ModifyUploadedParts_DELETE_WithoutDynamicData",""
"passed","Wed Oct 28 12:54:52 EET 2020","Wed Oct 28 12:54:55 EET 2020","3237","Default Suite","APIs","Com.APIs.Company.GET_CompanyFinancialStatementByCompanyID_TC025","Com.APIs.Company.GET_CompanyFinancialStatementByCompanyID_TC025","CompanyFinancialStatementByCompanyID","CompanyFinancialStatementByCompanyID",""
"passed","Wed Oct 28 12:54:36 EET 2020","Wed Oct 28 12:54:39 EET 2020","2758","Default Suite","APIs","Com.APIs.Company.GET_CompanyDistributorsByCompanyID_TC007","Com.APIs.Company.GET_CompanyDistributorsByCompanyID_TC007","CompanyDistributorsByCompanyID","CompanyDistributorsByCompanyID",""
"passed","Wed Oct 28 12:55:17 EET 2020","Wed Oct 28 12:55:19 EET 2020","2052","Default Suite","APIs","Com.APIs.Company.GET_CompanySupplyChainByCompanyID_TC015","Com.APIs.Company.GET_CompanySupplyChainByCompanyID_TC015","CompanySupplyChainByCompanyID","CompanySupplyChainByCompanyID",""
"passed","Wed Oct 28 12:56:25 EET 2020","Wed Oct 28 12:56:28 EET 2020","2434","Default Suite","APIs","Com.APIs.PartDataSearch.GET_UpdatedPartWithinDateRange_TC013","Com.APIs.PartDataSearch.GET_UpdatedPartWithinDateRange_TC013","UpdatedPartWithinDateRange","UpdatedPartWithinDateRange",""
"passed","Wed Oct 28 12:56:30 EET 2020","Wed Oct 28 12:56:32 EET 2020","2514","Default Suite","APIs","Com.APIs.PartDataSearch.GetPartDataByPartId_PartConfig_Duplicate_TC005","Com.APIs.PartDataSearch.GetPartDataByPartId_PartConfig_Duplicate_TC005","PartDataByPartId_PartConfig_Duplicate_parametric","PartDataByPartId_PartConfig_Duplicate_parametric",""
"passed","Wed Oct 28 12:54:58 EET 2020","Wed Oct 28 12:55:00 EET 2020","2015","Default Suite","APIs","Com.APIs.Company.GET_CompanyKeyPersonsByCompanyID_TC020","Com.APIs.Company.GET_CompanyKeyPersonsByCompanyID_TC020","CompanyKeyPersonsByCompanyID","CompanyKeyPersonsByCompanyID",""
"passed","Wed Oct 28 12:56:02 EET 2020","Wed Oct 28 12:56:07 EET 2020","4875","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartDetailsBySearchCustom_PartID_TC009","Com.APIs.PartDataSearch.GET_PartDetailsBySearchCustom_PartID_TC009","PartDetailsBySearchCustom_PartID","PartDetailsBySearchCustom_PartID",""
"passed","Wed Oct 28 12:55:45 EET 2020","Wed Oct 28 12:55:47 EET 2020","2018","Default Suite","APIs","Com.APIs.Company.GET_Litigation_Details_SelectByLitigationID_TC013","Com.APIs.Company.GET_Litigation_Details_SelectByLitigationID_TC013","Litigation_Details_SelectByLitigationID","Litigation_Details_SelectByLitigationID",""
"passed","Wed Oct 28 12:55:02 EET 2020","Wed Oct 28 12:55:04 EET 2020","2046","Default Suite","APIs","Com.APIs.Company.GET_CompanyLitigationsByCompanyID_TC014","Com.APIs.Company.GET_CompanyLitigationsByCompanyID_TC014","GetCompanyLitigationsByCompanyID","GetCompanyLitigationsByCompanyID",""
"passed","Wed Oct 28 12:55:42 EET 2020","Wed Oct 28 12:55:45 EET 2020","3027","Default Suite","APIs","Com.APIs.PartDataSearch.GET_InventoryDetailsByPartId_015","Com.APIs.PartDataSearch.GET_InventoryDetailsByPartId_015","InventoryDetailsByPartId","InventoryDetailsByPartId",""
"passed","Wed Oct 28 12:54:50 EET 2020","Wed Oct 28 12:54:52 EET 2020","2553","Default Suite","APIs","Com.APIs.Company.GET_CompanyFinancialSegmentCompanyID_TC026","Com.APIs.Company.GET_CompanyFinancialSegmentCompanyID_TC026","CompanyFinancialSegmentCompanyID","CompanyFinancialSegmentCompanyID",""
"passed","Wed Oct 28 12:55:29 EET 2020","Wed Oct 28 12:55:34 EET 2020","4616","Default Suite","APIs","Com.APIs.PartDataSearch.GET_CrossDataByPartId_TC011","Com.APIs.PartDataSearch.GET_CrossDataByPartId_TC011","GetCrossDataByPartId","GetCrossDataByPartId",""
"passed","Wed Oct 28 12:54:44 EET 2020","Wed Oct 28 12:54:47 EET 2020","3022","Default Suite","APIs","Com.APIs.Company.GET_CompanyFinancialKeyStatsByCompanyID_TC029","Com.APIs.Company.GET_CompanyFinancialKeyStatsByCompanyID_TC029","GetCompanyFinancialKeyStatsByCompanyID","GetCompanyFinancialKeyStatsByCompanyID",""
"passed","Wed Oct 28 12:55:21 EET 2020","Wed Oct 28 12:55:24 EET 2020","2912","Default Suite","APIs","Com.APIs.PartDataSearch.GET_ComplianceDatainXMLByPartId_TC021","Com.APIs.PartDataSearch.GET_ComplianceDatainXMLByPartId_TC021","GComplianceDatainXMLByPartId","GComplianceDatainXMLByPartId",""
"passed","Wed Oct 28 12:56:12 EET 2020","Wed Oct 28 12:56:15 EET 2020","3177","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartValidation_TC010","Com.APIs.PartDataSearch.GET_PartValidation_TC010","PartValidation","PartValidation",""
"passed","Wed Oct 28 12:55:52 EET 2020","Wed Oct 28 12:55:55 EET 2020","2586","Default Suite","APIs","Com.APIs.PartDataSearch.GET_PartDataByPartId_PartConfig_TC004","Com.APIs.PartDataSearch.GET_PartDataByPartId_PartConfig_TC004","PartDataByPartId_PartConfig","PartDataByPartId_PartConfig",""
"passed","Wed Oct 28 12:55:04 EET 2020","Wed Oct 28 12:55:06 EET 2020","2189","Default Suite","APIs","Com.APIs.Company.GET_CompanyLocationsByCompanyID_TC019","Com.APIs.Company.GET_CompanyLocationsByCompanyID_TC019","CompanyLocationsByCompanyID","CompanyLocationsByCompanyID",""
"passed","Wed Oct 28 12:55:38 EET 2020","Wed Oct 28 12:55:42 EET 2020","3819","Default Suite","APIs","Com.APIs.Company.GET_GetCompanySECFilingDateByCompanyID_TC005","Com.APIs.Company.GET_GetCompanySECFilingDateByCompanyID_TC005","GetCompanySECFilingDateByCompanyID","GetCompanySECFilingDateByCompanyID",""
"passed","Wed Oct 28 12:56:28 EET 2020","Wed Oct 28 12:56:30 EET 2020","1890","Default Suite","APIs","Com.APIs.PartDataSearch.GetPartDataByKeySearch_TC001","Com.APIs.PartDataSearch.GetPartDataByKeySearch_TC001","PartDataByKeySearch","PartDataByKeySearch",""
"passed","Wed Oct 28 12:55:24 EET 2020","Wed Oct 28 12:55:26 EET 2020","2043","Default Suite","APIs","Com.APIs.PartDataSearch.GET_ComplianceWithCMByPartID_PartConfig_TC019","Com.APIs.PartDataSearch.GET_ComplianceWithCMByPartID_PartConfig_TC019","ComplianceWithCMByPartID_PartConfig","ComplianceWithCMByPartID_PartConfig",""
"passed","Wed Oct 28 12:55:36 EET 2020","Wed Oct 28 12:55:38 EET 2020","1996","Default Suite","APIs","Com.APIs.Company.GET_GetCompanyNewsByCompanyID_TC006","Com.APIs.Company.GET_GetCompanyNewsByCompanyID_TC006","GetCompanyNewsByCompanyID","GetCompanyNewsByCompanyID",""
